"ACTOR1","ACTOR2","COUNTRY","EVENT_DATE","EVENT_ID_CNTY","EVENT_TYPE","ISO","LOCATION","NOTES","SUB_EVENT_TYPE","YEAR","annotation_id","annotator","created_at","id","lead_time","max_partviolence","max_secengagement","mmad_issue","mmad_max_scope","mmad_mean_avg_numparticipants","mmad_side","mmd_participants","mmd_participants_category","mmd_protesterdemand_1","mmd_protesterdemand_2","mmd_protesteridentity","mmd_protesterviolence","mmd_protestnumber","mmd_stateresponse_1","mmd_stateresponse_2","navco_camp_goals","navco_damage","navco_fatal_casu","navco_injuries","navco_num_partic_event","navco_nv_categ","navco_nv_commission","navco_nv_concentration","navco_nv_tactic_ns","navco_st_posture","navco_tactic_choice","navco_v_tactic_ns","scad_cgovtarget","scad_escalation","scad_etype","scad_gender_tags","scad_issues_1","scad_issues_2","scad_ndeath","scad_npart","scad_repress","scad_rgovtarget","updated_at"
"Protesters (India)","Police Forces of India (2014-)","India","2021-09-21","IND100207","Protests",356,"Jammu","On 21 September 2021, police arrested NSUI students protesting at Jammu city (J&K) against the cluster university over alleged faulty evaluation of intermediate semesters.","Protest with intervention",2021,101,"1","2025-07-24T13:08:27.503151Z",1043,1492.924,"NA","physical_intervention","for:faulty school evaluations","NA (only non-gov)","","non-gov target","","","","","students","no","","arrests","","policy_change","","","","","protest","commission","concentration","protest","material_physical_repression","nonviolent","","no","no_escalation","org_demo (clear leadership/organization)","","other","","","unknown","non_lethal","no","2025-07-24T13:08:27.503180Z"
"Protesters (Iran)","","Iran","2021-09-18","IRN10964","Protests",364,"Khorramabad","On 18 September 2021, teachers organized by the Coordinating Council of Teachers Syndicates in Iran protested in front of the Education Department building in Khorramabad city (Lorestan) over the failure to implement a salary ranking plan, insufficient pension payments, and work conditions.","Peaceful protest",2021,102,"1","2025-07-24T13:16:18.817413Z",1044,468.103,"NA","NA","for:salary and pension","national","","anti-gov","","","labor_wage_dispute","","teachers","no","","ignore","","policy_change","","","","","protest","commission","concentration","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","economy_jobs","","","unknown","none","no","2025-07-24T13:16:18.817473Z"
"Protesters (Brazil)","","Brazil","2021-09-08","BRA46216","Protests",76,"Viamao","On 8 September 2021, in Viamao, Rio Grande do Sul, professional truck drivers carried out a protest near RS-040 highway in support of President Jair Bolsonaro (no party).","Peaceful protest",2021,103,"1","2025-07-24T13:18:46.449700Z",1045,144.774,"NA","NA","for:president","national","","pro-gov","","","political_behavior_process","","truckers","no","","ignore","","unknown","","","","","persuasion","commission","concentration","","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","pro_government","","","unknown","none","no","2025-07-24T13:18:46.449726Z"
"Protesters (China)","","China","2021-09-08","CHN10911","Protests",156,"Bincheng","Around 8 September 2021 (as reported), workers protested in Binzhou city, Shandong (coded to Bincheng) to demand wage arrears owed by a construction company.","Peaceful protest",2021,104,"1","2025-07-24T13:21:16.380916Z",1046,146.997,"NA","NA","for:wages","NA (only non-gov)","","non-gov target","","","labor_wage_dispute","","workers","no","","ignore","","policy_change","","","","","protest","omission","concentration","protest","neutral","nonviolent","","no","no_escalation","org_demo (clear leadership/organization)","","economy_jobs","","","unknown","none","no","2025-07-24T13:21:16.380951Z"
"Protesters (Poland)","","Poland","2021-08-18","POL2988","Protests",616,"Czestochowa","On 18 August 2021, about 50 activists affiliated with the KOD movement gathered for a rally in Czestochowa, demanding real independence of courts in Poland and protesting against alleged influence of the government on judges.","Peaceful protest",2021,105,"1","2025-07-24T13:23:42.361181Z",1047,142.936,"NA","NA","against:government overreach","national","50","anti-gov","about 50","50-99","political_behavior_process","","activists","no","[{""number"":48}]","ignore","","institutional_reform","","","","about 50","protest","commission","concentration","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","other","","","10_to_100","none","no","2025-07-24T13:23:42.361208Z"
"Protesters (Lebanon)","","Lebanon","2021-08-16","LBN12299","Protests",422,"Beirut - Mazraa","On 16 August 2021, protesters stood on the road at Abdel Nasser junction in Beirut - Mazraa (Beirut) to block it, likely in protest against worsening living and economic conditions, recurring power outages and fuel and diesel shortages.","Peaceful protest",2021,106,"1","2025-07-24T13:26:23.580977Z",1048,159.371,"NA","NA","against:bad living conditions","national","","anti-gov","","","political_behavior_process","","civilians","no","","ignore","","policy_change","","","","","protest","commission","concentration","roadblock","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","economic_resources","","","unknown","none","no","2025-07-24T13:26:23.581004Z"
"Protesters (Poland)","","Poland","2021-08-15","POL2991","Protests",616,"Katowice","On 15 August 2021, Belarusian activists and members of the KOD movement gathered for a rally in Katowice, protesting against political violence in their country.","Peaceful protest",2021,107,"1","2025-07-24T13:28:12.542725Z",1049,107.196,"NA","NA","against:political violence","national","","anti-gov","","","police_brutality","","activists","no","","ignore","","institutional_reform","","","","","protest","commission","","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","human_rights_democracy","","","unknown","none","no","2025-07-24T13:28:12.542752Z"
"Protesters (Israel)","","Israel","2017-05-24","ISR10696","Protests",376,"Araba","On 24 May 2017, Palestinian citizens of Israel and political activists protested in Araba village, in solidarity with all Palestinian prisoners who are on their 38th day hunger strike, protesting their administrative detention. The protest was attended by a member of the Joint List.","Peaceful protest",2017,108,"1","2025-07-24T13:30:50.121241Z",1050,154.828,"NA","NA","against:administrative detention","national","","anti-gov","","","police_brutality","","Palestinian citizens of Israel","no","","ignore","","policy_change","","","","","protest","commission","concentration","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","human_rights_democracy","","","unknown","none","no","2025-07-24T13:30:50.121267Z"
"Protesters (Zambia)","","Zambia","2005-11-08","ZAM222","Protests",894,"Ndola","On 8 November 2005, Protesters (Zambia) engaged in protests in Ndola (Copperbelt, Ndola). No fatalities.","Peaceful protest",2005,109,"1","2025-07-24T13:32:54.983980Z",1051,122.15,"NA","NA","","national","","anti-gov","","","","","","no","","ignore","","unknown","","","","","protest","","","protest","","nonviolent","","no","no_escalation","org_demo (clear leadership/organization)","","unknown","","","unknown","none","no","2025-07-24T13:32:54.984007Z"
"Rioters (Kenya)","","Kenya","2005-10-31","KEN1576","Riots",404,"Kisumu","Kisumu students riot in protest of killing of fellow student by police","Violent demonstration",2005,110,"1","2025-07-24T13:34:19.612089Z",1052,82.643,"NA","NA","against:police brutality","national","","anti-gov","","","police_brutality","","students","no","","ignore","","institutional_reform","","","","","protest","commission","concentration","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","human_rights_democracy","","","unknown","none","no","2025-07-24T13:34:19.612116Z"
